"A #Lanciano si incatena il titolare di una #palestra: 'chiudo per #ignoranza' #ANSA 
https://t.co/yrHwT4ld1H";15;4;2020-10-26 18:35:19
"#coronavirus Sale l'allerta del Ministero degli Interni , rischio tensioni sociali con la nuova stretta. Migliaia in piazza a #Milano, #Napoli, #Palermo. Protestano i #ristoratori, i titolari di #bar e #palestre, i #tassisti #ANSA #dpcm 
https://t.co/T8FuXOvphZ";35;14;2020-10-26 18:29:39
"L'allerta dell'Organizzazione mondiale della sanità: 'Le terapie intensive d'Europa e degli Stati Uniti si stanno saturando'. 
L' #Europa è uno degli epicentri della #pandemia. #ANSA #OMS #USA
https://t.co/UDhyQWlJuu";23;22;2020-10-26 17:55:27
"#coronavirus sale l'#allerta del #Viminale 'rischio tensioni sociali'. Monta la #protesta, in centinaia nelle piazze a #Napoli #Milano #Palermo #Torino #ANSA 
https://t.co/VZDSFXKGp8";89;38;2020-10-26 17:48:45
"#Covid, colloquio  fra i ministri della #Salute d'Italia e Regno Unito, Roberto #Speranza e Matt #Hancock sull'impennata di contagi in Europa.  L'#Italia chiede cooperazione sul vaccino. #ANSA  
@MinisteroSalute
https://t.co/4mLbKPFxUe";16;8;2020-10-26 17:24:48
"#Covid-19 #Contagi e #tamponi in calo, aumentano i pazienti ricoverati in #terapiaintensiva +76%, sono 13mila.  Percentuale #tamponi- #positivi al 13,6% #ANSA Ministero della Salute 
https://t.co/L1SmH61Dri";36;5;2020-10-26 16:54:18
"#Covid Calano i #contagi, oltre 4 mila in meno ma sono stati effettuati 40mila tamponi in meno. Aumentano le vittime, 141 contro le 128 di domenica #ANSA #coronavirus 
https://t.co/Ir7KhNuj2b";31;14;2020-10-26 16:32:00
"#Covid: in calo i #contagi, 17 mila nelle ultime 24 ore. I #decessi sono 141. In calo anche il numero di #tamponi: 124.686, circa 40 mila in meno rispetto a ieri. #ANSA #pandemia @MinisteroSalute
https://t.co/AGIJkEQz2c";43;15;2020-10-26 16:22:01
"La #Farnesina sconsiglia i viaggi all'estero. E non esclude ulteriori restrizioni sugli spostamenti  @ItalyMFA  #Covid
#ANSA
https://t.co/x2SQR5U6nI";60;28;2020-10-26 16:04:46
L'annuncio della pugile azzurra Irma Testa: 'Sono positiva al #Covid-19'  #ANSA https://t.co/4DvYzQlpS7;6;5;2020-10-26 16:00:24
"A #Cagliari operatori del 118  stremati e bardati con le tute protettive attendono fuori dall'ospedale che le ambulanze con cui hanno portato pazienti #Covid-19 si liberino
#ANSA
https://t.co/deGdXajj05";224;75;2020-10-26 14:54:33
"#Covid: quasi 12.500 infezioni giornaliere in media in #Belgio 
Tra il 16 e il 22 ottobre, il 44% in più rispetto a 7 giorni prima. #ANSA #pandemia #contagi
https://t.co/VGTZGqbsue";18;6;2020-10-26 14:51:46
"I casi di #Covid-19 continuano ad aumentare anche in #Russia, dove nel corso delle ultime 24 ore sono stati accertati 17.347 nuovi contagi: il numero più alto finora registrato dall'inizio dell'#epidemia. #ANSA 
https://t.co/X4wDr8kkWt";26;11;2020-10-26 14:48:27
"Gerry Scotti: ""Sono positivo al #Covid-19. Volevo essere io a dirvelo. Sono a casa, sotto controllo medico"" #ANSA https://t.co/Vofuzd5Pkc";248;39;2020-10-26 12:53:55
"#Coronavirus, FT: 'Il vaccino #Oxford stimola risposta negli anziani'
#ANSA
https://t.co/uJLmDoFfQO";75;20;2020-10-26 12:35:37
"#Covid Merkel ai vertici della Cdu: ""La situazione è drammatica"" #ANSA https://t.co/xmNoKZFeOL";42;24;2020-10-26 12:00:26
"#Coronavirus, i taxi invadono il centro di #Torino: 'Servono incentivi' 
#ANSA
https://t.co/8CwgeVg3pn";48;12;2020-10-26 11:45:55
"Conte: ""La decisione sulla didattica a distanza non è stata facile, ma la curva del contagio preoccupa"" @GiuseppeConteIT #Covid #Scuola #Dad #ANSA  https://t.co/ZPZ2I4kxVE";57;12;2020-10-26 11:43:38
"#Covid A Padova il funerale del #Teatro, ""morto di #dpcm"" VIDEO #ANSA https://t.co/Bss2xtql2w";60;9;2020-10-26 10:51:39
"#Covid: Mattarella, sostenere la #ricerca, vincerà sulla pandemia
#ANSA
https://t.co/Qn1ZkXRXmW";65;13;2020-10-26 10:47:02
"#Covid: Ricciardi, le misure del #Dpcm un passo avanti ma non  sufficienti, in alcune zone il virus dilaga. Sileri: non pienamente d'accordo sul provvedimento 
#ANSA

https://t.co/8WADDSV89g";16;2;2020-10-26 10:31:05
"#Covid: altre due azzurre positive a #Coverciano
#calcio #ANSA
https://t.co/XIM4mqlyN2";14;3;2020-10-26 09:40:11
"#Covid Anm, rischi nei tribunali ""ma le istituzioni sono mute"". L'Associazione Nazionale dei Magistrati denuncia ""carenze diffuse"" e ""mancanza delle dotazioni informatiche per lo smart working"" #ANSA https://t.co/0P5nejgo2M";18;5;2020-10-26 09:37:22
"Dalla #Cig all'#Imu, sei le misure in arrivo 

#Economia
#Covid #ANSA
https://t.co/pa0FnBzIRB";15;6;2020-10-26 09:22:00
"Misiani: più aiuto a chi deve chiudere del tutto rispetto a chi chiude alle 18. Catalfo: altre 18 settimane di #cig generale

#Dpcm #Covid #ANSA

https://t.co/e4GvqSH1I1";14;4;2020-10-26 08:43:08
#Covid #Francia, probabile ondata più forte della prima #ANSA https://t.co/7QHmew9OkX;76;27;2020-10-26 08:30:41
"#Scuola: i presidi si riorganizzano, ora cambia tutto
Covid #ANSA
https://t.co/Dz4RipEQCq";14;10;2020-10-26 08:03:19
Si vota in #Sardegna, con l'ombra del #Covid e il rischio di astensionismo.  Alle #urne  fino alle 15 a #Nuoro e in 155 Comuni.#ANSA #amministrative https://t.co/p5y7Fp8SsO;10;6;2020-10-26 07:30:16
"#Campania, l'ordinanza del #governatore  conferma la #didattica a distanza.  All'infuori di #nidi e asili e progetti con #alunni con disabilità. #ANSA #DeLuca #Dpcm
https://t.co/IGALtIxnLn";37;8;2020-10-26 07:20:02
"#Dpcm chiude #palestre e #piscine, lo #sport in rivolta. #Barelli: 3 mld o sarà protesta.Poi la chiamata del premier Conte. #ANSA #pandemia #DPCM
https://t.co/AGQU0ygpOD";27;7;2020-10-26 06:50:02
"La ministra dell'#Istruzione #Azzolina chiede di intervenire sui trasporti locali e sulle  #Asl. @ANSA @AzzolinaLucia #Scuola #pandemia
https://t.co/SRTsVEHgd5";108;24;2020-10-26 06:40:02
"No a chiusure, centinaia in piazza a #Napoli. Sit- in e cori al Vomero, forte presidio delle forze dell'ordine #ANSA
https://t.co/DtwV8wn2ha https://t.co/8TpGSv593W";225;84;2020-10-25 21:30:52
"La ministra dell'#Istruzione #Azzolina chiede di intervenire sui trasporti locali e sulle  #Asl. @ANSA @AzzolinaLucia #Scuola #pandemia
https://t.co/tlbmgCrabm";128;18;2020-10-25 20:55:47
"#Dpcm chiude #palestre e #piscine, lo #sport in rivolta 
#Barelli: 3 mld o sarà protesta.Poi la chiamata del premier Conte.
#ANSA #pandemia #DPCM
https://t.co/rdk3SNxnA9";43;15;2020-10-25 20:45:42
"#Campania, l'ordinanza del #governatore  conferma la #didattica a distanza.  All'infuori di #nidi e asili e progetti con #alunni con disabilità. #ANSA #DeLuca #Dpcm
https://t.co/rRAswSAuTG";24;8;2020-10-25 19:27:18
"Nuovo #record di casi di #coronavirus in #Francia dove, nelle ultime 24 ore, ne sono stati registrati oltre 50.000. Lo ha annunciato il ministero della #Sanità. #ANSA #Covid #pandemia #epidemia
https://t.co/rtZNaovZyr";20;12;2020-10-25 19:00:31
"Si vota in #Sardegna, con l'ombra del #Covid e il rischio di astensionismo.  Alle #urne anche domani dalle 7 alle 15 a #Nuoro e in 155 Comuni.#ANSA #amministrative
https://t.co/BaZPZX4AV4";13;2;2020-10-25 18:58:36
"#Covid: la nuova #foto simbolo 'Per gli #infermieri lo stesso film di marzo'. Il grido d'allarme dall'ospedale Sant'Orsola di #Bologna. #ANSA 
https://t.co/KKKSI9M6TZ";119;33;2020-10-25 18:36:02
"I #medici ospedalieri lanciano l'allarme: 'La situazione è gravissima, pronto soccorso e reparti sono saturi. Posti esauriti in terapia intensiva da metà novembre' . #ANSA #25ottobre #covid #pandemia #sanità
https://t.co/0GbEWlNXsq";218;134;2020-10-25 18:28:16
"""Il consiglio dei ministri approvi il decreto per il risarcimento immediato e congruo alle categorie colpite dal nuovo #dpcm."" Lo afferma il vicepresidente di Forza Italia, Antonio #Tajani.#ANSA #25ottobre #covid #Dpcm
https://t.co/KSrD3fl56U";29;4;2020-10-25 17:51:36
"#Salvini sul #Dpcm: 'Chiudere attività come #palestre, #piscine, #cinema e #teatri che negli ultimi mesi hanno investito tanto per adeguare gli standard di sicurezza sanitaria è una sciocchezza'. #ANSA #25ottobre  #covid #pandemia
https://t.co/qWGP8f4ksk";98;11;2020-10-25 17:49:04
"L'allarme dei #medici ospedalieri: 'La situazione è gravissima'. 
'Presto Rianimazioni sature. Il #dpcm potrebbe non bastare'
#ANSA #25ottobre #covid #pandemia #Dpcm
https://t.co/cIfJ2sSKcw";129;76;2020-10-25 17:17:50
"Sono tornati sopra quota duemila in #Piemonte i nuovi casi di positività al #Covid. Oggi ce ne sono stati 2.287, il numero più alto dall'inizio della seconda fase dell'epidemia. #ANSA #25ottobre
https://t.co/M7pDXPVtop";19;14;2020-10-25 16:32:31
"#Covid: in #Campania 2590 positivi, nuovo #record .  Su oltre 16mila tamponi. Zero #decessi e 173 persone guarite. #ANSA #25ottobre
https://t.co/TbOJW2i82S";22;14;2020-10-25 16:26:08
"Nuovo balzo dei #contagi per #Covid, secondo i dati del ministero della #Salute sono stati registrati 21.273 nuovi #casi nelle ultime 24 ore. 128 le vittime. #ANSA #25ottobre #pandemia #coronavirus
https://t.co/mbWKuW3KTr";36;24;2020-10-25 16:24:32
"#Covid Balzo contagi, oltre 21mila in un giorno, 128 vittime. 161mila tamponi, oltre 15mila meno di ieri 
https://t.co/joLp7F9B1E";68;35;2020-10-25 16:05:27
"#Oms: record di nuovi casi, la metà in #Europa.  465.319 nelle ultime 24 ore, 221.898 nel Vecchio Continente. #ANSA #25ottobre #contagi #pandemia #covid
https://t.co/GrXS2XBAGR";14;10;2020-10-25 16:03:27
"Rocco Casalino, portavoce del premier,  è in autoisolamento fiduciario #Covid  #Casalino
#ANSA 
https://t.co/C4XCoDgYoM";30;10;2020-10-25 15:36:57
"Il portavoce di Mattarella positivo al #Covid. 'Nessun contatto 
con il presidente'
#ANSA
https://t.co/h4PEkN14QO";46;15;2020-10-25 15:18:14
"#Scontri a #Roma nella notte contro il #coprifuoco, indaga la #Procura. Oltre una decina tra denunce e arresti.  Si valutano i collegamenti con i tafferugli di #Napoli. #ANSA #24ottobre
https://t.co/dUsOMi10kN";37;13;2020-10-25 14:37:08
"#Covid, la #Spagna dichiara lo stato d'emergenza.  In Germania sono 11.176 i nuovi casi confermati di #Coronavirus 
#ANSA
https://t.co/yYjyAQB2HQ";19;17;2020-10-25 13:31:03
"#Conte: 'I primi vaccini anti #Covid a dicembre, per chi è fragile ed esposto' 
#ANSA
https://t.co/S5irQlyDoY";74;21;2020-10-25 13:25:11
"#Conte: 'Nessuno spazio per i professionisti dei disordini'  @GiuseppeConteIT 
#ANSA 
https://t.co/DyzkLS2x5r";77;23;2020-10-25 13:07:17
"Verrà cancellata la seconda rata #Imu per le categorie in difficoltà:  lo annuncia il premier @GiuseppeConteIT  in conferenza stampa #Dpcm #Covid
#ANSA
https://t.co/Xe84zhN30P";32;17;2020-10-25 13:04:10
"'Misure adesso per affrontare Natale più sereni': spiega il presidente del Consiglio nella conferenza a Palazzo Chigi illustrando i nuovi interventi anti #Covid  @GiuseppeConteIT  #Dpcm
#ANSA
https://t.co/KyZa820Vdc";108;22;2020-10-25 12:56:17
"'Le misure sono per scongiurare un lockdown generalizzato.
Dobbiamo gestire la pandemia per non rimanerne sopraffatti. L'Italia  è un grande paese, ce la faremo anche adesso': così il premier in conferenza stampa @GiuseppeConteIT  #Dpcm #Covid
#ANSA
https://t.co/HPfQkdRCMJ";43;15;2020-10-25 12:51:23
"'Raccomandiamo di muoversi solo per lavoro, ma non è un coprifuoco': dice il premier, Giuseppe Conte, che annuncia anche l'arrivo dei ristori con bonifico su conti correnti @GiuseppeConteIT 
#ANSA
https://t.co/AfJ6cwNrTP";64;26;2020-10-25 12:47:20
"'Lo stress sul sistema sanitario è preoccupante': lo ha detto il premier @GiuseppeConteIT  in conferenza stampa. 'L'analisi dei dati sui contagi non può lasciare indifferenti' #Covid
#ANSA 
https://t.co/SV4QzgfImB";38;11;2020-10-25 12:43:01
"La conferenza stampa del premier per illustrare le nuove misure anti #Covid - Segui la DIRETTA @GiuseppeConteIT 
#ANSA
https://t.co/jHHQTHbh7D";21;6;2020-10-25 12:37:07
"#Dpcm, salta il divieto per i concorsi pubblici e privati: è quanto prevede il decreto con le nuove misure anti #Covid che il premier @GiuseppeConteIT  illustrerà alle 13,30
#conferenzaconte
#ANSA  
https://t.co/OwJ9Lxn4pQ";23;5;2020-10-25 12:16:06
"'Per gli infermieri lo stesso film di marzo', il grido d'allarme dall'ospedale sant'Orsola di Bologna:  una nuova foto simbolo dell'emergenza che stiamo rivivendo, con il personale sanitario alle prese con la nuova ondata #Coronavirus #Covid
https://t.co/q8lNAJzl5N";119;39;2020-10-25 11:48:55
"Conferenza stampa alle 13,30 del premier sul #Dpcm per illustrare le nuove misure anti #Covid  @GiuseppeConteIT 
#ANSA
https://t.co/AfJ6cwNrTP";41;17;2020-10-25 10:49:16
"Il #Dpcm ""raccomanda fortemente"" di ""non spostarsi"". Rispetto all'ultima bozza, tuttavia, salta la specifica, secondo cui era raccomandato di non spostarsi dal Comune di residenza. E non c'è lo stop agli spostamenti tra Regioni @GiuseppeConteIT 
#ANSA
https://t.co/wyNFg8Fr8S";43;17;2020-10-25 10:47:05
